textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Christian,6,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Christian,3,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Christian,2,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Christian,16,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Christian,2,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Christian,21,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Christian,7,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Christian,2,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Christian,2,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Christian,10,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Hare Krishna,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Hare Krishna,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Hare Krishna,3,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Hare Krishna,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Hare Krishna,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Hare Krishna,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Hare Krishna,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Hare Krishna,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Hare Krishna,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Hare Krishna,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Hare Krishna,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Moslem,90,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Moslem,107,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Moslem,43,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Moslem,21,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Moslem,40,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Moslem,74,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Moslem,41,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Moslem,46,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Moslem,68,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Moslem,71,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Moslem,60,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Moslem Ismaici,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Moslem Ismaici,26,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Moslem Ismaici,11,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Moslem Ismaici,16,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Moslem Ismaici,1,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Moslem Ismaici,28,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Moslem Ismaici,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Moslem Ismaici,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Moslem Ismaici,2,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Moslem Ismaici,4,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Moslem Ismaici,5,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Moslem Shiite,192,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Moslem Shiite,91,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Moslem Shiite,70,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Moslem Shiite,64,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Moslem Shiite,33,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Moslem Shiite,108,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Moslem Shiite,123,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Moslem Shiite,226,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Moslem Shiite,248,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Moslem Shiite,270,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Moslem Shiite,546,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Moslem Suni,583,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Moslem Suni,394,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Moslem Suni,283,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Moslem Suni,504,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Moslem Suni,242,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Moslem Suni,298,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Moslem Suni,206,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Moslem Suni,287,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Moslem Suni,350,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Moslem Suni,328,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Moslem Suni,374,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,No Religion,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,No Religion,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,No Religion,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,No Religion,1,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,No Religion,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,No Religion,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,No Religion,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,No Religion,1,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,No Religion,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,No Religion,6,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",No Religion,1,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Other Religion,2,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Other Religion,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Other Religion,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Other Religion,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Other Religion,3,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Other Religion,1,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Other Religion,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Other Religion,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Other Religion,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Other Religion,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Other Religion,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Protestant,2,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Protestant,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Protestant,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Protestant,1,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Protestant,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Protestant,5,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Protestant,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Protestant,1,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Protestant,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Protestant,8,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Protestant,8,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Russian Orthodox,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Russian Orthodox,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Russian Orthodox,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Russian Orthodox,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Russian Orthodox,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Russian Orthodox,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Russian Orthodox,1,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Russian Orthodox,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Russian Orthodox,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Russian Orthodox,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Russian Orthodox,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Seventh Day Adventist,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Seventh Day Adventist,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Seventh Day Adventist,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Seventh Day Adventist,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Seventh Day Adventist,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Seventh Day Adventist,3,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Seventh Day Adventist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Seventh Day Adventist,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Seventh Day Adventist,1,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Seventh Day Adventist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Seventh Day Adventist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2005,876,Unknown,2,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2006,633,Unknown,2,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2007,413,Unknown,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2008,611,Unknown,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2009,338,Unknown,2,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2010,527,Unknown,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2011,392,Unknown,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2012,578,Unknown,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2013,678,Unknown,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2014,696,Unknown,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Afghanistan,CY 2015,"1,009",Unknown,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2005,0,Moslem,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2006,1,Moslem,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2007,0,Moslem,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2008,1,Moslem,1,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2009,1,Moslem,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2010,0,Moslem,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2011,0,Moslem,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2012,0,Moslem,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2013,0,Moslem,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2014,0,Moslem,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2015,0,Moslem,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2005,0,Orthodox,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2006,1,Orthodox,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2007,0,Orthodox,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2008,1,Orthodox,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2009,1,Orthodox,1,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2010,0,Orthodox,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2011,0,Orthodox,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2012,0,Orthodox,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2013,0,Orthodox,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2014,0,Orthodox,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2015,0,Orthodox,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2005,0,Unknown,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2006,1,Unknown,1,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2007,0,Unknown,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2008,1,Unknown,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2009,1,Unknown,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2010,0,Unknown,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2011,0,Unknown,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2012,0,Unknown,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2013,0,Unknown,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2014,0,Unknown,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Albania,CY 2015,0,Unknown,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2005,1,Moslem,1,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2006,1,Moslem,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2007,0,Moslem,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2008,0,Moslem,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2009,0,Moslem,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2010,2,Moslem,2,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2011,0,Moslem,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2012,0,Moslem,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2013,2,Moslem,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2014,0,Moslem,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2015,0,Moslem,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2005,1,Moslem Suni,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2006,1,Moslem Suni,1,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2007,0,Moslem Suni,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2008,0,Moslem Suni,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2009,0,Moslem Suni,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2010,2,Moslem Suni,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2011,0,Moslem Suni,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2012,0,Moslem Suni,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2013,2,Moslem Suni,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2014,0,Moslem Suni,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2015,0,Moslem Suni,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2005,1,Protestant,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2006,1,Protestant,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2007,0,Protestant,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2008,0,Protestant,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2009,0,Protestant,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2010,2,Protestant,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2011,0,Protestant,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2012,0,Protestant,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2013,2,Protestant,2,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2014,0,Protestant,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Algeria,CY 2015,0,Protestant,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2005,16,Baptist,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2006,17,Baptist,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2007,0,Baptist,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2008,1,Baptist,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2009,7,Baptist,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2010,0,Baptist,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2011,2,Baptist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2012,0,Baptist,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2013,6,Baptist,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2014,0,Baptist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2015,5,Baptist,2,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2005,16,Catholic,11,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2006,17,Catholic,10,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2007,0,Catholic,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2008,1,Catholic,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2009,7,Catholic,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2010,0,Catholic,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2011,2,Catholic,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Angola,CY 2012,0,Catholic,0,"66,292"
