year,origin,dest_state,dest_city,arrivals
2011,Burundi,Alabama,Mobile,0
2012,Burundi,Alabama,Mobile,0
2013,Burundi,Alabama,Mobile,0
2014,Burundi,Alabama,Mobile,0
2015,Burundi,Alabama,Mobile,0
2005,Chad,Alabama,Mobile,0
2006,Chad,Alabama,Mobile,0
2007,Chad,Alabama,Mobile,0
2008,Chad,Alabama,Mobile,2
2009,Chad,Alabama,Mobile,0
2010,Chad,Alabama,Mobile,0
2011,Chad,Alabama,Mobile,0
2012,Chad,Alabama,Mobile,0
2013,Chad,Alabama,Mobile,0
2014,Chad,Alabama,Mobile,0
2015,Chad,Alabama,Mobile,0
2005,Colombia,Alabama,Mobile,0
2006,Colombia,Alabama,Mobile,0
2007,Colombia,Alabama,Mobile,0
2008,Colombia,Alabama,Mobile,0
2009,Colombia,Alabama,Mobile,0
2010,Colombia,Alabama,Mobile,0
2011,Colombia,Alabama,Mobile,0
2012,Colombia,Alabama,Mobile,0
2013,Colombia,Alabama,Mobile,0
2014,Colombia,Alabama,Mobile,5
2015,Colombia,Alabama,Mobile,8
2005,Cuba,Alabama,Ashland,1
2006,Cuba,Alabama,Ashland,0
2007,Cuba,Alabama,Ashland,0
2008,Cuba,Alabama,Ashland,0
2009,Cuba,Alabama,Ashland,0
2010,Cuba,Alabama,Ashland,0
2011,Cuba,Alabama,Ashland,0
2012,Cuba,Alabama,Ashland,0
2013,Cuba,Alabama,Ashland,0
2014,Cuba,Alabama,Ashland,0
2015,Cuba,Alabama,Ashland,0
2005,Cuba,Alabama,Birmingham,0
2006,Cuba,Alabama,Birmingham,0
2007,Cuba,Alabama,Birmingham,0
2008,Cuba,Alabama,Birmingham,0
2009,Cuba,Alabama,Birmingham,5
2010,Cuba,Alabama,Birmingham,0
2011,Cuba,Alabama,Birmingham,0
2012,Cuba,Alabama,Birmingham,0
2013,Cuba,Alabama,Birmingham,0
2014,Cuba,Alabama,Birmingham,0
2015,Cuba,Alabama,Birmingham,0
2005,Cuba,Alabama,Calera,0
2006,Cuba,Alabama,Calera,0
2007,Cuba,Alabama,Calera,0
2008,Cuba,Alabama,Calera,0
2009,Cuba,Alabama,Calera,4
2010,Cuba,Alabama,Calera,0
2011,Cuba,Alabama,Calera,0
2012,Cuba,Alabama,Calera,0
2013,Cuba,Alabama,Calera,0
2014,Cuba,Alabama,Calera,0
2015,Cuba,Alabama,Calera,0
2005,Cuba,Alabama,Mobile,5
2006,Cuba,Alabama,Mobile,3
2007,Cuba,Alabama,Mobile,21
2008,Cuba,Alabama,Mobile,20
2009,Cuba,Alabama,Mobile,22
2010,Cuba,Alabama,Mobile,17
2011,Cuba,Alabama,Mobile,0
2012,Cuba,Alabama,Mobile,5
2013,Cuba,Alabama,Mobile,6
2014,Cuba,Alabama,Mobile,10
2015,Cuba,Alabama,Mobile,0
2005,Cuba,Alabama,Russellville,0
2006,Cuba,Alabama,Russellville,0
2007,Cuba,Alabama,Russellville,0
2008,Cuba,Alabama,Russellville,0
2009,Cuba,Alabama,Russellville,0
2010,Cuba,Alabama,Russellville,2
2011,Cuba,Alabama,Russellville,0
2012,Cuba,Alabama,Russellville,0
2013,Cuba,Alabama,Russellville,0
2014,Cuba,Alabama,Russellville,0
2015,Cuba,Alabama,Russellville,0
2005,Cuba,Alabama,Theodore,0
2006,Cuba,Alabama,Theodore,0
2007,Cuba,Alabama,Theodore,0
2008,Cuba,Alabama,Theodore,0
2009,Cuba,Alabama,Theodore,0
2010,Cuba,Alabama,Theodore,0
2011,Cuba,Alabama,Theodore,0
2012,Cuba,Alabama,Theodore,1
2013,Cuba,Alabama,Theodore,0
2014,Cuba,Alabama,Theodore,0
2015,Cuba,Alabama,Theodore,0
2005,Dem. Rep. Congo,Alabama,Mobile,0
2006,Dem. Rep. Congo,Alabama,Mobile,0
2007,Dem. Rep. Congo,Alabama,Mobile,6
2008,Dem. Rep. Congo,Alabama,Mobile,0
2009,Dem. Rep. Congo,Alabama,Mobile,0
2010,Dem. Rep. Congo,Alabama,Mobile,7
2011,Dem. Rep. Congo,Alabama,Mobile,0
2012,Dem. Rep. Congo,Alabama,Mobile,21
2013,Dem. Rep. Congo,Alabama,Mobile,0
2014,Dem. Rep. Congo,Alabama,Mobile,5
2015,Dem. Rep. Congo,Alabama,Mobile,41
2005,Eritrea,Alabama,Mobile,0
2006,Eritrea,Alabama,Mobile,0
2007,Eritrea,Alabama,Mobile,5
2008,Eritrea,Alabama,Mobile,0
2009,Eritrea,Alabama,Mobile,1
2010,Eritrea,Alabama,Mobile,4
2011,Eritrea,Alabama,Mobile,0
2012,Eritrea,Alabama,Mobile,1
2013,Eritrea,Alabama,Mobile,1
2014,Eritrea,Alabama,Mobile,2
2015,Eritrea,Alabama,Mobile,0
2005,Ethiopia,Alabama,Elba,0
2006,Ethiopia,Alabama,Elba,0
2007,Ethiopia,Alabama,Elba,0
2008,Ethiopia,Alabama,Elba,0
2009,Ethiopia,Alabama,Elba,0
2010,Ethiopia,Alabama,Elba,0
2011,Ethiopia,Alabama,Elba,0
2012,Ethiopia,Alabama,Elba,0
2013,Ethiopia,Alabama,Elba,0
2014,Ethiopia,Alabama,Elba,2
2015,Ethiopia,Alabama,Elba,0
2005,Ethiopia,Alabama,Guntersville,0
2006,Ethiopia,Alabama,Guntersville,0
2007,Ethiopia,Alabama,Guntersville,0
2008,Ethiopia,Alabama,Guntersville,0
2009,Ethiopia,Alabama,Guntersville,0
2010,Ethiopia,Alabama,Guntersville,0
2011,Ethiopia,Alabama,Guntersville,0
2012,Ethiopia,Alabama,Guntersville,0
2013,Ethiopia,Alabama,Guntersville,0
2014,Ethiopia,Alabama,Guntersville,0
2015,Ethiopia,Alabama,Guntersville,1
2005,Ethiopia,Alabama,Mobile,0
2006,Ethiopia,Alabama,Mobile,0
2007,Ethiopia,Alabama,Mobile,0
2008,Ethiopia,Alabama,Mobile,0
2009,Ethiopia,Alabama,Mobile,1
2010,Ethiopia,Alabama,Mobile,3
2011,Ethiopia,Alabama,Mobile,1
2012,Ethiopia,Alabama,Mobile,7
2013,Ethiopia,Alabama,Mobile,1
2014,Ethiopia,Alabama,Mobile,1
2015,Ethiopia,Alabama,Mobile,0
2005,Iran,Alabama,Mobile,0
2006,Iran,Alabama,Mobile,0
2007,Iran,Alabama,Mobile,6
2008,Iran,Alabama,Mobile,0
2009,Iran,Alabama,Mobile,0
2010,Iran,Alabama,Mobile,0
2011,Iran,Alabama,Mobile,15
2012,Iran,Alabama,Mobile,1
2013,Iran,Alabama,Mobile,6
2014,Iran,Alabama,Mobile,3
2015,Iran,Alabama,Mobile,5
2005,Iran,Alabama,Pelham,0
2006,Iran,Alabama,Pelham,0
2007,Iran,Alabama,Pelham,0
2008,Iran,Alabama,Pelham,0
2009,Iran,Alabama,Pelham,0
2010,Iran,Alabama,Pelham,2
2011,Iran,Alabama,Pelham,0
2012,Iran,Alabama,Pelham,0
2013,Iran,Alabama,Pelham,0
2014,Iran,Alabama,Pelham,0
2015,Iran,Alabama,Pelham,0
2005,Iran,Alabama,Tuscaloosa,0
2006,Iran,Alabama,Tuscaloosa,0
2007,Iran,Alabama,Tuscaloosa,0
2008,Iran,Alabama,Tuscaloosa,1
2009,Iran,Alabama,Tuscaloosa,0
2010,Iran,Alabama,Tuscaloosa,0
2011,Iran,Alabama,Tuscaloosa,0
2012,Iran,Alabama,Tuscaloosa,0
2013,Iran,Alabama,Tuscaloosa,0
2014,Iran,Alabama,Tuscaloosa,0
2015,Iran,Alabama,Tuscaloosa,0
2005,Iraq,Alabama,Birmingham,0
2006,Iraq,Alabama,Birmingham,0
2007,Iraq,Alabama,Birmingham,0
2008,Iraq,Alabama,Birmingham,6
2009,Iraq,Alabama,Birmingham,0
2010,Iraq,Alabama,Birmingham,0
2011,Iraq,Alabama,Birmingham,0
2012,Iraq,Alabama,Birmingham,2
2013,Iraq,Alabama,Birmingham,0
2014,Iraq,Alabama,Birmingham,0
2015,Iraq,Alabama,Birmingham,0
2005,Iraq,Alabama,Dadeville,0
2006,Iraq,Alabama,Dadeville,0
2007,Iraq,Alabama,Dadeville,0
2008,Iraq,Alabama,Dadeville,0
2009,Iraq,Alabama,Dadeville,0
2010,Iraq,Alabama,Dadeville,0
2011,Iraq,Alabama,Dadeville,0
2012,Iraq,Alabama,Dadeville,0
2013,Iraq,Alabama,Dadeville,1
2014,Iraq,Alabama,Dadeville,0
2015,Iraq,Alabama,Dadeville,0
2005,Iraq,Alabama,Daphne,0
2006,Iraq,Alabama,Daphne,0
2007,Iraq,Alabama,Daphne,0
2008,Iraq,Alabama,Daphne,0
2009,Iraq,Alabama,Daphne,3
2010,Iraq,Alabama,Daphne,0
2011,Iraq,Alabama,Daphne,0
2012,Iraq,Alabama,Daphne,0
2013,Iraq,Alabama,Daphne,0
2014,Iraq,Alabama,Daphne,0
2015,Iraq,Alabama,Daphne,0
2005,Iraq,Alabama,Foley,0
2006,Iraq,Alabama,Foley,0
2007,Iraq,Alabama,Foley,0
2008,Iraq,Alabama,Foley,0
2009,Iraq,Alabama,Foley,0
2010,Iraq,Alabama,Foley,0
2011,Iraq,Alabama,Foley,0
2012,Iraq,Alabama,Foley,0
2013,Iraq,Alabama,Foley,0
2014,Iraq,Alabama,Foley,7
2015,Iraq,Alabama,Foley,0
2005,Iraq,Alabama,Huntsville,0
2006,Iraq,Alabama,Huntsville,0
2007,Iraq,Alabama,Huntsville,0
2008,Iraq,Alabama,Huntsville,0
2009,Iraq,Alabama,Huntsville,0
2010,Iraq,Alabama,Huntsville,1
2011,Iraq,Alabama,Huntsville,0
2012,Iraq,Alabama,Huntsville,0
2013,Iraq,Alabama,Huntsville,0
2014,Iraq,Alabama,Huntsville,0
2015,Iraq,Alabama,Huntsville,0
2005,Iraq,Alabama,Jacksonville,0
2006,Iraq,Alabama,Jacksonville,0
2007,Iraq,Alabama,Jacksonville,0
2008,Iraq,Alabama,Jacksonville,4
2009,Iraq,Alabama,Jacksonville,0
2010,Iraq,Alabama,Jacksonville,0
2011,Iraq,Alabama,Jacksonville,0
2012,Iraq,Alabama,Jacksonville,0
2013,Iraq,Alabama,Jacksonville,0
2014,Iraq,Alabama,Jacksonville,0
2015,Iraq,Alabama,Jacksonville,0
2005,Iraq,Alabama,Mobile,1
2006,Iraq,Alabama,Mobile,0
2007,Iraq,Alabama,Mobile,0
2008,Iraq,Alabama,Mobile,91
2009,Iraq,Alabama,Mobile,111
2010,Iraq,Alabama,Mobile,81
2011,Iraq,Alabama,Mobile,16
2012,Iraq,Alabama,Mobile,16
2013,Iraq,Alabama,Mobile,63
2014,Iraq,Alabama,Mobile,29
2015,Iraq,Alabama,Mobile,14
2005,Iraq,Alabama,Prattville,0
2006,Iraq,Alabama,Prattville,0
2007,Iraq,Alabama,Prattville,0
2008,Iraq,Alabama,Prattville,0
2009,Iraq,Alabama,Prattville,0
2010,Iraq,Alabama,Prattville,1
2011,Iraq,Alabama,Prattville,0
2012,Iraq,Alabama,Prattville,0
2013,Iraq,Alabama,Prattville,0
2014,Iraq,Alabama,Prattville,0
2015,Iraq,Alabama,Prattville,0
2005,Iraq,Alabama,Vestavia Hills,0
2006,Iraq,Alabama,Vestavia Hills,0
2007,Iraq,Alabama,Vestavia Hills,0
2008,Iraq,Alabama,Vestavia Hills,0
2009,Iraq,Alabama,Vestavia Hills,0
2010,Iraq,Alabama,Vestavia Hills,0
2011,Iraq,Alabama,Vestavia Hills,1
2012,Iraq,Alabama,Vestavia Hills,0
2013,Iraq,Alabama,Vestavia Hills,0
2014,Iraq,Alabama,Vestavia Hills,0
2015,Iraq,Alabama,Vestavia Hills,0
2005,Ivory Coast,Alabama,Mobile,0
2006,Ivory Coast,Alabama,Mobile,0
2007,Ivory Coast,Alabama,Mobile,0
2008,Ivory Coast,Alabama,Mobile,0
2009,Ivory Coast,Alabama,Mobile,0
2010,Ivory Coast,Alabama,Mobile,0
2011,Ivory Coast,Alabama,Mobile,0
2012,Ivory Coast,Alabama,Mobile,0
2013,Ivory Coast,Alabama,Mobile,0
2014,Ivory Coast,Alabama,Mobile,1
2015,Ivory Coast,Alabama,Mobile,0
2005,Liberia,Alabama,Mobile,8
2006,Liberia,Alabama,Mobile,0
2007,Liberia,Alabama,Mobile,0
2008,Liberia,Alabama,Mobile,5
2009,Liberia,Alabama,Mobile,7
2010,Liberia,Alabama,Mobile,0
2011,Liberia,Alabama,Mobile,0
2012,Liberia,Alabama,Mobile,0
2013,Liberia,Alabama,Mobile,0
2014,Liberia,Alabama,Mobile,0
2015,Liberia,Alabama,Mobile,0
2005,Liberia,Alabama,Montgomery,2
2006,Liberia,Alabama,Montgomery,0
2007,Liberia,Alabama,Montgomery,0
2008,Liberia,Alabama,Montgomery,2
2009,Liberia,Alabama,Montgomery,0
2010,Liberia,Alabama,Montgomery,0
2011,Liberia,Alabama,Montgomery,0
2012,Liberia,Alabama,Montgomery,0
2013,Liberia,Alabama,Montgomery,0
2014,Liberia,Alabama,Montgomery,0
2015,Liberia,Alabama,Montgomery,0
2005,Liberia,Alabama,Phenix City,0
2006,Liberia,Alabama,Phenix City,4
2007,Liberia,Alabama,Phenix City,0
2008,Liberia,Alabama,Phenix City,0
2009,Liberia,Alabama,Phenix City,0
2010,Liberia,Alabama,Phenix City,0
2011,Liberia,Alabama,Phenix City,0
2012,Liberia,Alabama,Phenix City,0
2013,Liberia,Alabama,Phenix City,0
2014,Liberia,Alabama,Phenix City,0
2015,Liberia,Alabama,Phenix City,0
2005,Pakistan,Alabama,Mobile,0
2006,Pakistan,Alabama,Mobile,0
2007,Pakistan,Alabama,Mobile,0
2008,Pakistan,Alabama,Mobile,0
2009,Pakistan,Alabama,Mobile,0
2010,Pakistan,Alabama,Mobile,0
2011,Pakistan,Alabama,Mobile,0
2012,Pakistan,Alabama,Mobile,15
2013,Pakistan,Alabama,Mobile,0
2014,Pakistan,Alabama,Mobile,0
2015,Pakistan,Alabama,Mobile,0
2005,Russia,Alabama,Madison,1
2006,Russia,Alabama,Madison,0
2007,Russia,Alabama,Madison,0
2008,Russia,Alabama,Madison,0
2009,Russia,Alabama,Madison,0
2010,Russia,Alabama,Madison,0
2011,Russia,Alabama,Madison,0
2012,Russia,Alabama,Madison,0
2013,Russia,Alabama,Madison,0
2014,Russia,Alabama,Madison,0
2015,Russia,Alabama,Madison,0
2005,Russia,Alabama,Mobile,79
2006,Russia,Alabama,Mobile,30
2007,Russia,Alabama,Mobile,7
2008,Russia,Alabama,Mobile,0
2009,Russia,Alabama,Mobile,6
2010,Russia,Alabama,Mobile,0
2011,Russia,Alabama,Mobile,0
2012,Russia,Alabama,Mobile,0
2013,Russia,Alabama,Mobile,0
2014,Russia,Alabama,Mobile,0
2015,Russia,Alabama,Mobile,0
2005,Rwanda,Alabama,Mobile,0
2006,Rwanda,Alabama,Mobile,0
2007,Rwanda,Alabama,Mobile,0
2008,Rwanda,Alabama,Mobile,0
2009,Rwanda,Alabama,Mobile,4
2010,Rwanda,Alabama,Mobile,0
2011,Rwanda,Alabama,Mobile,0
2012,Rwanda,Alabama,Mobile,0
2013,Rwanda,Alabama,Mobile,0
2014,Rwanda,Alabama,Mobile,0
2015,Rwanda,Alabama,Mobile,0
2005,Somalia,Alabama,Albertville,0
2006,Somalia,Alabama,Albertville,0
2007,Somalia,Alabama,Albertville,0
2008,Somalia,Alabama,Albertville,0
2009,Somalia,Alabama,Albertville,0
2010,Somalia,Alabama,Albertville,0
2011,Somalia,Alabama,Albertville,5
2012,Somalia,Alabama,Albertville,0
2013,Somalia,Alabama,Albertville,0
2014,Somalia,Alabama,Albertville,0
2015,Somalia,Alabama,Albertville,0
2005,Somalia,Alabama,Mobile,0
2006,Somalia,Alabama,Mobile,2
2007,Somalia,Alabama,Mobile,30
2008,Somalia,Alabama,Mobile,20
2009,Somalia,Alabama,Mobile,5
2010,Somalia,Alabama,Mobile,25
2011,Somalia,Alabama,Mobile,40
2012,Somalia,Alabama,Mobile,48
2013,Somalia,Alabama,Mobile,6
2014,Somalia,Alabama,Mobile,22
2015,Somalia,Alabama,Mobile,8
2005,Sudan,Alabama,Mobile,2
2006,Sudan,Alabama,Mobile,17
2007,Sudan,Alabama,Mobile,0
2008,Sudan,Alabama,Mobile,0
2009,Sudan,Alabama,Mobile,7
2010,Sudan,Alabama,Mobile,0
2011,Sudan,Alabama,Mobile,0
2012,Sudan,Alabama,Mobile,10
2013,Sudan,Alabama,Mobile,22
2014,Sudan,Alabama,Mobile,14
2015,Sudan,Alabama,Mobile,1
2005,Ukraine,Alabama,Birmingham,0
2006,Ukraine,Alabama,Birmingham,0
2007,Ukraine,Alabama,Birmingham,0
2008,Ukraine,Alabama,Birmingham,0
2009,Ukraine,Alabama,Birmingham,1
2010,Ukraine,Alabama,Birmingham,0
2011,Ukraine,Alabama,Birmingham,0
2012,Ukraine,Alabama,Birmingham,0
2013,Ukraine,Alabama,Birmingham,0
2014,Ukraine,Alabama,Birmingham,0
2015,Ukraine,Alabama,Birmingham,0
2005,Vietnam,Alabama,Mobile,0
2006,Vietnam,Alabama,Mobile,0
2007,Vietnam,Alabama,Mobile,15
2008,Vietnam,Alabama,Mobile,9
2009,Vietnam,Alabama,Mobile,20
2010,Vietnam,Alabama,Mobile,1
2011,Vietnam,Alabama,Mobile,0
2012,Vietnam,Alabama,Mobile,0
2013,Vietnam,Alabama,Mobile,0
2014,Vietnam,Alabama,Mobile,0
2015,Vietnam,Alabama,Mobile,0
2005,Bhutan,Alaska,Anchorage,0
2006,Bhutan,Alaska,Anchorage,0
2007,Bhutan,Alaska,Anchorage,0
2008,Bhutan,Alaska,Anchorage,0
2009,Bhutan,Alaska,Anchorage,58
2010,Bhutan,Alaska,Anchorage,42
2011,Bhutan,Alaska,Anchorage,17
2012,Bhutan,Alaska,Anchorage,6
2013,Bhutan,Alaska,Anchorage,5
2014,Bhutan,Alaska,Anchorage,10
2015,Bhutan,Alaska,Anchorage,4
2005,Burma,Alaska,Anchorage,0
2006,Burma,Alaska,Anchorage,0
2007,Burma,Alaska,Anchorage,0
2008,Burma,Alaska,Anchorage,0
2009,Burma,Alaska,Anchorage,0
2010,Burma,Alaska,Anchorage,0
2011,Burma,Alaska,Anchorage,23
2012,Burma,Alaska,Anchorage,30
2013,Burma,Alaska,Anchorage,9
2014,Burma,Alaska,Anchorage,4
2015,Burma,Alaska,Anchorage,17
2005,Burma,Alaska,Kodiak,0
2006,Burma,Alaska,Kodiak,0
2007,Burma,Alaska,Kodiak,0
2008,Burma,Alaska,Kodiak,0
2009,Burma,Alaska,Kodiak,0
2010,Burma,Alaska,Kodiak,0
2011,Burma,Alaska,Kodiak,3
2012,Burma,Alaska,Kodiak,0
2013,Burma,Alaska,Kodiak,0
2014,Burma,Alaska,Kodiak,0
2015,Burma,Alaska,Kodiak,0
2005,Colombia,Alaska,Anchorage,0
2006,Colombia,Alaska,Anchorage,0
2007,Colombia,Alaska,Anchorage,0
2008,Colombia,Alaska,Anchorage,0
2009,Colombia,Alaska,Anchorage,0
2010,Colombia,Alaska,Anchorage,0
2011,Colombia,Alaska,Anchorage,0
2012,Colombia,Alaska,Anchorage,0
2013,Colombia,Alaska,Anchorage,6
2014,Colombia,Alaska,Anchorage,0
2015,Colombia,Alaska,Anchorage,0
2005,Congo,Alaska,Anchorage,0
2006,Congo,Alaska,Anchorage,0
2007,Congo,Alaska,Anchorage,0
2008,Congo,Alaska,Anchorage,0
2009,Congo,Alaska,Anchorage,0
2010,Congo,Alaska,Anchorage,0
2011,Congo,Alaska,Anchorage,0
2012,Congo,Alaska,Anchorage,0
2013,Congo,Alaska,Anchorage,0
2014,Congo,Alaska,Anchorage,3
2015,Congo,Alaska,Anchorage,0
2005,Cuba,Alaska,Anchorage,0
2006,Cuba,Alaska,Anchorage,0
2007,Cuba,Alaska,Anchorage,0
2008,Cuba,Alaska,Anchorage,0
2009,Cuba,Alaska,Anchorage,0
2010,Cuba,Alaska,Anchorage,0
2011,Cuba,Alaska,Anchorage,0
2012,Cuba,Alaska,Anchorage,0
2013,Cuba,Alaska,Anchorage,3
2014,Cuba,Alaska,Anchorage,6
2015,Cuba,Alaska,Anchorage,0
2005,Cuba,Alaska,Fairbanks,0
2006,Cuba,Alaska,Fairbanks,4
2007,Cuba,Alaska,Fairbanks,0
2008,Cuba,Alaska,Fairbanks,0
2009,Cuba,Alaska,Fairbanks,0
2010,Cuba,Alaska,Fairbanks,0
2011,Cuba,Alaska,Fairbanks,0
2012,Cuba,Alaska,Fairbanks,0
2013,Cuba,Alaska,Fairbanks,0
2014,Cuba,Alaska,Fairbanks,0
2015,Cuba,Alaska,Fairbanks,0
2005,Dem. Rep. Congo,Alaska,Anchorage,0
2006,Dem. Rep. Congo,Alaska,Anchorage,0
2007,Dem. Rep. Congo,Alaska,Anchorage,0
2008,Dem. Rep. Congo,Alaska,Anchorage,24
2009,Dem. Rep. Congo,Alaska,Anchorage,2
2010,Dem. Rep. Congo,Alaska,Anchorage,0
2011,Dem. Rep. Congo,Alaska,Anchorage,0
2012,Dem. Rep. Congo,Alaska,Anchorage,0
2013,Dem. Rep. Congo,Alaska,Anchorage,0
2014,Dem. Rep. Congo,Alaska,Anchorage,42
2015,Dem. Rep. Congo,Alaska,Anchorage,5
2005,Eritrea,Alaska,Anchorage,0
2006,Eritrea,Alaska,Anchorage,0
2007,Eritrea,Alaska,Anchorage,0
2008,Eritrea,Alaska,Anchorage,0
2009,Eritrea,Alaska,Anchorage,0
2010,Eritrea,Alaska,Anchorage,4
2011,Eritrea,Alaska,Anchorage,0
2012,Eritrea,Alaska,Anchorage,2
2013,Eritrea,Alaska,Anchorage,1
2014,Eritrea,Alaska,Anchorage,7
2015,Eritrea,Alaska,Anchorage,0
2005,Ethiopia,Alaska,Anchorage,0
2006,Ethiopia,Alaska,Anchorage,0
2007,Ethiopia,Alaska,Anchorage,0
2008,Ethiopia,Alaska,Anchorage,0
2009,Ethiopia,Alaska,Anchorage,0
2010,Ethiopia,Alaska,Anchorage,0
2011,Ethiopia,Alaska,Anchorage,0
2012,Ethiopia,Alaska,Anchorage,1
2013,Ethiopia,Alaska,Anchorage,0
2014,Ethiopia,Alaska,Anchorage,2
2015,Ethiopia,Alaska,Anchorage,2
2005,Georgia,Alaska,Anchorage,0
2006,Georgia,Alaska,Anchorage,0
2007,Georgia,Alaska,Anchorage,0
2008,Georgia,Alaska,Anchorage,6
2009,Georgia,Alaska,Anchorage,0
2010,Georgia,Alaska,Anchorage,0
2011,Georgia,Alaska,Anchorage,0
2012,Georgia,Alaska,Anchorage,0
2013,Georgia,Alaska,Anchorage,0
2014,Georgia,Alaska,Anchorage,0
2015,Georgia,Alaska,Anchorage,0
2005,Iran,Alaska,Anchorage,0
2006,Iran,Alaska,Anchorage,0
2007,Iran,Alaska,Anchorage,0
2008,Iran,Alaska,Anchorage,0
2009,Iran,Alaska,Anchorage,4
2010,Iran,Alaska,Anchorage,0
2011,Iran,Alaska,Anchorage,0
2012,Iran,Alaska,Anchorage,0
2013,Iran,Alaska,Anchorage,0
2014,Iran,Alaska,Anchorage,1
2015,Iran,Alaska,Anchorage,0
2005,Iran,Alaska,Juneau,2
2006,Iran,Alaska,Juneau,0
2007,Iran,Alaska,Juneau,0
2008,Iran,Alaska,Juneau,0
2009,Iran,Alaska,Juneau,0
2010,Iran,Alaska,Juneau,0
2011,Iran,Alaska,Juneau,3
2012,Iran,Alaska,Juneau,0
2013,Iran,Alaska,Juneau,0
2014,Iran,Alaska,Juneau,0
2015,Iran,Alaska,Juneau,0
2005,Iraq,Alaska,Anchorage,0
2006,Iraq,Alaska,Anchorage,0
2007,Iraq,Alaska,Anchorage,0
2008,Iraq,Alaska,Anchorage,2
2009,Iraq,Alaska,Anchorage,0
2010,Iraq,Alaska,Anchorage,13
2011,Iraq,Alaska,Anchorage,0
2012,Iraq,Alaska,Anchorage,5
2013,Iraq,Alaska,Anchorage,3
2014,Iraq,Alaska,Anchorage,22
2015,Iraq,Alaska,Anchorage,2
2005,Iraq,Alaska,Jber,0
2006,Iraq,Alaska,Jber,0
2007,Iraq,Alaska,Jber,0
2008,Iraq,Alaska,Jber,0
2009,Iraq,Alaska,Jber,0
2010,Iraq,Alaska,Jber,0
2011,Iraq,Alaska,Jber,0
2012,Iraq,Alaska,Jber,0
2013,Iraq,Alaska,Jber,1
2014,Iraq,Alaska,Jber,0
2015,Iraq,Alaska,Jber,0
2005,Laos,Alaska,Anchorage,52
2006,Laos,Alaska,Anchorage,0
2007,Laos,Alaska,Anchorage,0
2008,Laos,Alaska,Anchorage,0
2009,Laos,Alaska,Anchorage,0
2010,Laos,Alaska,Anchorage,0
2011,Laos,Alaska,Anchorage,0
2012,Laos,Alaska,Anchorage,0
2013,Laos,Alaska,Anchorage,0
2014,Laos,Alaska,Anchorage,0
2015,Laos,Alaska,Anchorage,0
2005,Moldova,Alaska,Delta Junction,0
